,comment,sentiment,token
0,이 거 그거 같다 그 분노의 질주 더 익스트림에서 샤를리즈 테론 사이퍼 이 좀비 타임 하면서 전부 다 폐차 만들어 놓은 거,0.0,"['이', '거', '그거', '같다', '그', '분노', '의', '질주', '더', '익스트림', '에서', '샤를', '리즈', '테론', '사이퍼', '이', '좀비', '타임', '하면서', '전부', '다', '폐차', '만들어', '놓은', '거']"
1,아니 ㅋㅋ 브레이크 등 왜 안 들어오냐고 아 ㅋㅋ,0.0,"['아니', 'ㅋㅋ', '브레이크', '등', '왜', '안', '들어오냐고', '아', 'ㅋㅋ']"
2,볼보운전자보다 제가 운전 경력 삼십년 가까이 됩니다그동안 대우차 현대차 쉐보레 차 중형급 신차만 뽑아서 운전해본 결과 외제차는 무조건 걸러야 된다고 봅니다 사고 시 부품비 인건비가 타 국산차에 비해 비쌉니다 물론 잘 들 아시겠지만 국산차는 해외 수출용보다 헉소리 나오게 국민들 뒷북치게 만드시는 거 알거에요 그래도 국내 브랜드 차량이 써비스 쎈타도 많고 부품 준비돼 있고 외제차보다 추천 드립니 다,0.0,"['볼보', '운전자', '보다', '제', '가', '운전', '경력', '삼', '십년', '가까이', '됩니다', '그동안', '대우', '차', '현대차', '쉐보레', '차', '중형', '급', '신차', '만', '뽑아서', '운전', '해본', '결과', '외제차', '는', '무조건', '걸러', '야', '된다고', '봅니다', '사고', '시', '부품', '비', '인건비', '가', '타', '국산', '차', '에', '비해', '비쌉니다', '물론', '잘', '들', '아시겠지만', '국산', '차는', '해외', '수출', '용', '보다', '헉', '소리', '나오게', '국민', '들', '뒷북', '치', '게', '만드시는', '거', '알거에요', '그래도', '국내', '브랜드', '차량', '이', '써비스', '쎈', '타도', '많고', '부품', '준비', '돼', '있고', '외제차', '보다', '추천', '드립니', '다']"
3,주차부터 멋지게 하셨네요,0.0,"['주차', '부터', '멋지게', '하셨네요']"
4,운전 실력 굳 국기 게양대 파워 클라스 인정,0.0,"['운전', '실력', '굳', '국기', '게양', '대', '파워', '클라스', '인정']"
5,자동 회피로 트럭은 피한 거 아닌가,0.0,"['자동', '회피', '로', '트럭', '은', '피', '한', '거', '아닌가']"
6,저기 우리 동넨데,0.0,"['저기', '우리', '동넨데']"
7,그래도 현기 만 할까,0.0,"['그래도', '현기', '만', '할까']"
8,수동 타는 데 현기차 고 수입차고 쌍용차 고 급발진 사고가 일어 나네요 너무 무섭다 이럴 때 수동 짱짱맨,0.0,"['수동', '타는', '데', '현', '기차', '고', '수입', '차고', '쌍용차', '고', '급발진', '사고', '가', '일어', '나네요', '너무', '무섭다', '이럴', '때', '수동', '짱짱맨']"
9,3달 된 사고를 지금 엠빅이 올린 다이건 운전자가 언론 플레이 하려는 거임 이 거 사고 블랙박스 풀 영상인데 들어가서 댓글 보셈 운전자가 실수한 거임 김여사가 중립놨다가 엑셀을 브레이크로 착각하고 엑셀 밟고 로 바꿔서 차가 달린 거임 ㅋㅋ,0.0,"['3', '달', '된', '사고', '를', '지금', '엠빅', '이', '올린', '다', '이건', '운전자', '가', '언론', '플레이', '하려는', '거임', '이', '거', '사고', '블랙박스', '풀', '영상', '인데', '들어가서', '댓글', '보셈', '운전자', '가', '실수', '한', '거임', '김여사', '가', '중립', '놨', '다가', '엑셀', '을', '브레이크', '로', '착각', '하고', '엑셀', '밟고', '로', '바꿔서', '차가', '달린', '거임', 'ㅋㅋ']"
10,안전한 차 맞냐,0.0,"['안전한', '차', '맞냐']"
11,그래서 예능에서 볼보 광고가 안 보였구나,0.0,"['그래서', '예능', '에서', '볼보', '광고', '가', '안', '보였구나']"
12,뉴스 똑띠 안 씁니까 브레이크 등 단 한 번도 안 들어오는데 이것도 오작동입니까 브레이크 등이 캔 통신도 아니고 스위치라 밟으면 들어오는 게 정상인데 브레이크 보조 등 브레이크 등 다 안 들어오는 게 말이 됩니까 ㅡㅡ,0.0,"['뉴스', '똑띠', '안', '씁니까', '브레이크', '등', '단', '한', '번', '도', '안', '들어오는데', '이', '것', '도', '오', '작', '동', '입', '니까', '브레이크', '등', '이', '캔', '통신', '도', '아니고', '스위치', '라', '밟으면', '들어오는', '게', '정상', '인데', '브레이크', '보조', '등', '브레이크', '등', '다', '안', '들어오는', '게', '말', '이', '됩니까', 'ㅡㅡ']"
13,2억 겨우,0.0,"['2억', '겨우']"
14,키 햐급발진 나면 고객 탓 국내나 국외나 ㅋㅋ,0.0,"['키', '햐', '급발진', '나면', '고객', '탓', '국내', '나', '국외', '나', 'ㅋㅋ']"
15,전기차를 타면 4226226 이렇게 될 수 있는 거니까 어떻게 탐,0.0,"['전기차', '를', '타면', '4226226', '이렇게', '될', '수', '있는', '거', '니까', '어떻게', '탐']"
16,근데 브레이크 등 안 들어온 거 같은데,0.0,"['근데', '브레이크', '등', '안', '들어온', '거', '같은데']"
17,저 차가 파킹 브레이크가 전자식인지 아날로근진 모르겠는데 아날로그는 에 놓고 파킹 브레이크 댕겨놓고 사이드 내리는 순간 확 튀어나가면서 급발진하는 경우 있긴 함,0.0,"['저', '차가', '파킹', '브레이크', '가', '전', '자식', '인지', '아', '날로', '근', '진', '모르겠는데', '아날로그', '는', '에', '놓고', '파킹', '브레이크', '댕', '겨놓고', '사이드', '내리는', '순간', '확', '튀어', '나가면서', '급발진', '하는', '경우', '있긴', '함']"
18,전자식의 큰 문제점이지,0.0,"['전', '자식', '의', '큰', '문제점', '이지']"
19,ㅇㅋ 볼보안타는 걸로,0.0,"['ㅇㅋ', '볼보', '안타', '는', '걸', '로']"
20,브레이크 등이 안 들어오는데 아닌가,0.0,"['브레이크', '등', '이', '안', '들어오는데', '아닌가']"
21,덤프트럭 타야됨 급발진 없고 튼튼하고,0.0,"['덤프', '트럭', '타야', '됨', '급발진', '없고', '튼튼하고']"
22,안전우선인 볼보는 어떻게 처리할지,0.0,"['안전', '우선', '인', '볼보', '는', '어떻게', '처리', '할지']"
23,공포의 19초 영상은 4분 26초,0.0,"['공포', '의', '19초', '영상', '은', '4분', '26초']"
24,중국 지리차가 대주주로 되더니 별 일이 다 일어나는군,0.0,"['중국', '지', '리차', '가', '대', '주주', '로', '되더니', '별', '일이', '다', '일어나는군']"
25,차 이상하면 바로 박아야 함 속도 붙으면 끝,0.0,"['차', '이상하면', '바로', '박아', '야', '함', '속도', '붙으면', '끝']"
