,0
0,56초에 기어 넣는소리 나는데 출발할 생각이 없었다?<br>브레이크보조등 뒷유리에 들어오고 출발할땐 안들어오는데?<br>급발진 주장은 유독 고령이나 여성운전자한테 나오는거 같음
1,작년 10월에 있었던 사건을 왜 이제서야? 흉기업체가 위기감 느꼈나보네요. 볼보 잘나가니.
2,이거 그거같다 그 분노의질주 더 익스트림에서 샤를리즈 테론(사이퍼)이 좀비 타임 하면서 전부다 폐차만들어놓은거
3,아니 ㅋㅋ 브레이크등 왜 안들어오냐고 아 ㅋㅋ
4,볼보운전자보다.제가 운전경력 삼십년 가까이 됩니다.<br>그동안 대우차 현대차 쉐보레차.중형급 신차만 뽑아서 운전해본 결과. 외제차는 무조건 걸러야 된다고 봅니다.사고시 부품비 인건비가 타 국산차에 비해.비쌉니다.<br>물론 잘들 아시겠지만.국산차는 해외수출용보다.헉소리 나오게 국민들 뒷북치게 만드시는거 알거에요.<br><br>그래도 국내브랜드차량이.<br>써비스쎈타도 많고.부품 준비돼있고.<br>외제차보다 추천드립니다.
5,주차부터 멋지게 하셨네요~
6,운전 실력 굳 국기게양대 파워 클라스 인정
7,볼보 대처 좆같이하네 ㅋㅋㅋ 볼보는 믿고거른다 ㄹㅇ
8,자동회피로 트럭은 피한거 아닌가?
9,저기 우리 동넨데
10,그래도 현기 만 할까
11,수동 타는데 현기차고 수입차고 쌍용차고 급발진 사고가 일어 나네요;; ; 너무 무섭다. <br>이럴때 수동 짱짱맨
12,"3달된 사고를 지금 엠빅이 올린다?<br>이건 운전자가 언론 플레이 하려는거임.<br><a href=""https://youtu.be/MmOuXHT_Rpg"">https://youtu.be/MmOuXHT_Rpg</a><br>이거 사고 블랙박스 풀영상인데 들어가서 댓글보셈 운전자가 실수한거임<br>김여사가 중립놨다가 엑셀을 브레이크로 착각하고 엑셀밟고 D로 바꿔서 차가 달린거임 ㅋㅋ"
13,안전한 차 맞냐?
14,그래서 예능에서 볼보 광고가 안보였구나
15,뉴스 똑띠 안씁니까 브레이크등 단한번도 안들어오는데 이것도 오작동입니까? 브레이크등이 캔통신도 아니고 스위치라 밟으면 들어오는게 정상인데 브레이크보조등 브레이크등 다 안들어오는게 말이됩니까 ㅡㅡ
16,현기차는 시발? 무서워서 보도 못하냐? <br>진짜 쪽팔리다 왜 뉴스하냐 공정하지도 못하면서 언론사들 죄다 현기차 눈치 보기 바쁘고 진짜 찌질하다
17,2억 겨우?
18,키햐..급발진나면 고객탓 국내나 국외나 ㅋㅋ
19,개무섭네 씨벌
20,"전기차를 타면 <a href=""https://www.youtube.com/watch?v=tx4bZDM_mok&amp;t=2m26s"">2:26</a> 이렇게 될 수 있는거니까.. 어떻게탐..."
21,미국도 도요타 이후로 급발진 접수 많이됨. 근데 운전자 습관으로 판결남 급발진 사례 그만큼 없음. 후미등이라도 들어오고 rpm튀는 현상 떠도 인정힘든데 저건 너무 개판 중국이 볼보가 인수 했다지만 저정도는 아니다 편집 너무 심하게 하냉
22,근데 브레이크등 안들어온거같은데;;
23,ㅗㅜㅑ 가버렷
24,저차가 파킹브레이크가 전자식인지 아날로근진 모르겠는데 아날로그는 d에놓고 파킹 브레이크 댕겨놓고 사이드 내리는 순간 확튀어나가면서 급발진하는 경우 있긴함
25,전자식의 큰문제점이지..
26,ㅇㅋ 볼보안타는걸로
27,브레이크등이 안들어오는데 ?아닌가?
28,덤프트럭타야됨 급발진없고 튼튼하고
