,comment,sentiment,cluster
0,이 거 그거 같다 그 분노의 질주 더 익스트림에서 샤를리즈 테론 사이퍼 이 좀비 타임 하면서 전부 다 폐차 만들어 놓은 거,0.0,11
1,아니 ㅋㅋ 브레이크 등 왜 안 들어오냐고 아 ㅋㅋ,0.0,16
2,볼보운전자보다 제가 운전 경력 삼십년 가까이 됩니다그동안 대우차 현대차 쉐보레 차 중형급 신차만 뽑아서 운전해본 결과 외제차는 무조건 걸러야 된다고 봅니다 사고 시 부품비 인건비가 타 국산차에 비해 비쌉니다 물론 잘 들 아시겠지만 국산차는 해외 수출용보다 헉소리 나오게 국민들 뒷북치게 만드시는 거 알거에요 그래도 국내 브랜드 차량이 써비스 쎈타도 많고 부품 준비돼 있고 외제차보다 추천 드립니 다,0.0,3
3,주차부터 멋지게 하셨네요,0.0,13
4,운전 실력 굳 국기 게양대 파워 클라스 인정,0.0,13
5,자동 회피로 트럭은 피한 거 아닌가,0.0,5
6,저기 우리 동넨데,0.0,3
7,그래도 현기 만 할까,0.0,8
8,수동 타는 데 현기차 고 수입차고 쌍용차 고 급발진 사고가 일어 나네요 너무 무섭다 이럴 때 수동 짱짱맨,0.0,17
9,3달 된 사고를 지금 엠빅이 올린 다이건 운전자가 언론 플레이 하려는 거임 이 거 사고 블랙박스 풀 영상인데 들어가서 댓글 보셈 운전자가 실수한 거임 김여사가 중립놨다가 엑셀을 브레이크로 착각하고 엑셀 밟고 로 바꿔서 차가 달린 거임 ㅋㅋ,0.0,11
10,안전한 차 맞냐,0.0,8
11,그래서 예능에서 볼보 광고가 안 보였구나,0.0,5
12,뉴스 똑띠 안 씁니까 브레이크 등 단 한 번도 안 들어오는데 이것도 오작동입니까 브레이크 등이 캔 통신도 아니고 스위치라 밟으면 들어오는 게 정상인데 브레이크 보조 등 브레이크 등 다 안 들어오는 게 말이 됩니까 ㅡㅡ,0.0,14
13,2억 겨우,0.0,0
14,키 햐급발진 나면 고객 탓 국내나 국외나 ㅋㅋ,0.0,17
15,전기차를 타면 4226226 이렇게 될 수 있는 거니까 어떻게 탐,0.0,17
16,근데 브레이크 등 안 들어온 거 같은데,0.0,16
17,저 차가 파킹 브레이크가 전자식인지 아날로근진 모르겠는데 아날로그는 에 놓고 파킹 브레이크 댕겨놓고 사이드 내리는 순간 확 튀어나가면서 급발진하는 경우 있긴 함,0.0,17
18,전자식의 큰 문제점이지,0.0,3
19,ㅇㅋ 볼보안타는 걸로,0.0,5
20,브레이크 등이 안 들어오는데 아닌가,0.0,18
21,덤프트럭 타야됨 급발진 없고 튼튼하고,0.0,8
22,안전우선인 볼보는 어떻게 처리할지,0.0,17
23,공포의 19초 영상은 4분 26초,0.0,1
24,중국 지리차가 대주주로 되더니 별 일이 다 일어나는군,0.0,11
25,차 이상하면 바로 박아야 함 속도 붙으면 끝,0.0,13
26,엄청나게 와 소름 무섭네요 ㅜㅜ,0.0,13
27,저렇게 달릴 때 사람 안친 게 정말 다행이네요,0.0,5
28,와 다리 떨려요 진짜 무서워 저런 상황에서 어떻게 해야 하는지 감도 안 잡힌다,0.0,9
29,처음부터 끝까지 브레끼 등 안 들어 옴끝,0.0,3
30,보는 것만으로도 공포네요,0.0,1
31,근디 상으로는 브레이크 밟힌 흔적이 안 보이는 걸로 보아서 급발진 인정받긴 힘들어 보이네요,0.0,9
32,결코 자동이 좋은 건 아니다 수동 장치는 좀 살려 놔라,0.0,9
33,19초 전 ㄷㄷ,0.0,13
34,46초 전 ㄷㄷ,0.0,13
35,ㄷㄷ,0.0,0
36,짱구 택시편에서 나오는 하늘로 날아서 낙하상 펼치고 떨어지는 거라도 좀 만들어줬으면 반 자율주행도 가능한데 그런 기능 하나쯤 넣어주세요 안전띠도 못한 채로 핸들도 안 먹고 얼마나 무서웠을까 ㅜㅜ,0.0,17
37,대한민국 법이 도대체 왜 있는 거지 국민을 가장 먼저 위해야 하는 거 아닌가,0.0,14
38,아니믄 잔투기처럼 비상탈출 버튼 누르면 선루프 열리면서 운전석 시트 랑 같이 하늘로 날려 보내는 걸 달거나,0.0,13
39,볼보여서 살아있는 것을 다행이라고 해야 하나와 볼보 급발 진 입증하기 어렵다는 데,0.0,17
40,중국산 끝,0.0,0
41,우리 흉기를 보십시요 볼보 양반 ㅋㅋ 우리는 이걸 우 전 미숙이라 결정합니다 허허허,0.0,9
42,트렁크 안에 낙하산 같은 거 달면 안 되나 그 어느 정도 속도에선 트렁크 열리고 펼쳐져서 감속 되게,0.0,9
43,볼보 좋네 볼보 사야징,0.0,8
44,아자씨저 영상 보면서 그렇게 밖에 말씀 못 하십니까 아자 씨,0.0,3
45,자율주행이 좋은 것만은 아니야 내가 제어하려 해도 안 되잖아 앞으로는 이런 끔찍한 일들이 많을 것이다,0.0,7
46,행동요령 1 시동을 끄지 말기 핸들 잠길 위험 2 풋 브레이크를 꾹 밟기 나눠 밟기 금지 3 기어를 중립으로 바꾼다 또는 엔진 브레이크 이용 4 속도가 줄어들면 사이드 브레이크 올린다 확 올리면 드리프트 발생 위험 5 최후의 수단 가드레일과 같은 주변 안전한 지형지물을 이용해 벽을 긁으면서 속도를 줄인 다 사전에 풋 블랙박스를 설치한다,0.0,17
47,현대 기 아가 더 심한데 답이 없다,0.0,11
48,이 사고 역시 운전자 과실로 몰아가겠죠 늘 그랬던 것처럼,0.0,1
49,근데 브레이크는 왜 안 잡냐 운전 미숙 90퍼 이상,0.0,11
