,comments,sentiment,tokens
15698,진짜 믿고 구글에 총알티비 검색했는데 진짜 여캠들 다 보여주더라,1,"['진짜', '믿고', '구글', '에', '총알', '티비', '검색', '했는데', '진짜', '여', '캠', '들', '다', '보여주더라']"
15699,서인영 개꼰대에 인성 쓰레기 이휘재의 하위 호환 격이 휘재자기보다 약해 보이는 사람한테 함부로 대하는 인간 쓰레기 심지어 초딩보다 급이 아래인 인성 쓰레기,1,"['서인영', '개꼰대', '에', '인성', '쓰레기', '이휘재', '의', '하위', '호환', '격', '이', '휘재', '자기', '보다', '약해', '보이는', '사람', '한테', '함부로', '대하', '는', '인간', '쓰레기', '심지어', '초딩', '보다', '급', '이', '아래', '인', '인성', '쓰레기']"
15700,저기에 좌파 의원들 가서 문제인 업적 읊으면 환호했음 ㅋㅋ,-1,"['저기', '에', '좌파', '의원', '들', '가서', '문제', '인', '업적', '읊으', '면', '환호', '했음', 'ㅋㅋ']"
15701,2번째는 정신에 문제 있는 거 같음,1,"['2', '번', '째', '는', '정신', '에', '문제', '있는', '거', '같음']"
15702,더 리 터,0,"['더', '리', '터']"
15703,이런 인간들 신상공개 좀 되게 법 좀 바꼈으면 당한 사람은 무슨 죄야,0,"['이런', '인간', '들', '신상', '공개', '좀', '되게', '법', '좀', '바', '꼈으면', '당한', '사람', '은', '무슨', '죄', '야']"
15704,아지매 처음부터 중앙선을 물지 말던 가 왜 앞차 타령이야 뇌에 우동사리도 없나 보구마하따 한국 몇몇 골빈 아지매들 사고함 나서 차 한 번 굴러야 정신들라나,1,"['아지', '매', '처음', '부터', '중앙', '선', '을', '물', '지', '말던', '가', '왜', '앞차', '타령', '이야', '뇌', '에', '우동', '사리', '도', '없나', '보구', '마하', '따', '한국', '몇몇', '골빈', '아지', '매', '들', '사', '고함', '나서', '차', '한', '번', '굴러야', '정신', '들라나']"
15705,나라에 힘든 일이 많네 ㅠ,0,"['나라', '에', '힘든', '일이', '많네', 'ㅠ']"
15706,짠짠 이 댓글이 프로 불편러라고 한다면 난 그냥 프로 불편러 할란다,0,"['짠', '짠', '이', '댓글', '이', '프로', '불', '편러', '라고', '한다면', '난', '그냥', '프로', '불', '편러', '할란다']"
15707,간첩보다 무서운 건 너 같은 벌레들이 다 밟아도 계속 살아나는 벌레너 같은 것들은 1000년 이 지나도 멸종하지 않는 다 영화가 국민에게 사상 주입을 하는 게 아니라 너 같은 것들이 일부 닭대가리들에게 사상 주입을 하는 것이다 그래도 열심히 해봐라 한 자리 줄지도 모르지 ㅉㅉ,1,"['간첩', '보다', '무서운', '건', '너', '같은', '벌레', '들', '이', '다', '밟아도', '계속', '살아나는', '벌레', '너', '같은', '것', '들', '은', '1000년', '이', '지나도', '멸종', '하지', '않는', '다', '영화', '가', '국민', '에게', '사상', '주입', '을', '하는', '게', '아니라', '너', '같은', '것', '들', '이', '일부', '닭', '대가리', '들', '에게', '사상', '주입', '을', '하는', '것', '이다', '그래도', '열심히', '해봐라', '한', '자리', '줄지도', '모르지', 'ㅉㅉ']"
15708,안 죽었네 안타까워라,1,"['안', '죽었네', '안타까워라']"
15709,뒤에 사진에 계속 눈길이 가 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,"['뒤', '에', '사진', '에', '계속', '눈길', '이', '가', 'ㅋㅋㅋㅋㅋㅋㅋㅋ']"
15710,빨리 보고 싶다,0,"['빨리', '보고', '싶다']"
15711,서인영 맹승지띨띨한년들 ㅋㅋㅋ,1,"['서인영', '맹승지', '띨띨', '한', '년', '들', 'ㅋㅋㅋ']"
15712,병신 새끼들 참 많네,1,"['병신', '새끼', '들', '참', '많네']"
15713,참 유쾌한 여자야,0,"['참', '유쾌한', '여자', '야']"
15714,이 생선을 수빙 수님이 손질하고 싶어 합니다,0,"['이', '생선', '을', '수빙', '수', '님', '이', '손질', '하고', '싶어', '합니다']"
15715,얼음 포함해서 1일 거예요더리터에 1 전용 텀블러가 파는 데 그 거 아니면 안 들어갈 거 같아 요 ㅠㅠ 아니면 얼음 빼고 달라고 하시고 냉장고에 두고 드셔도 될 거 같아요,0,"['얼음', '포함', '해서', '1일', '거', '예요', '더', '리터', '에', '1', '전용', '텀블러', '가', '파는', '데', '그', '거', '아니면', '안', '들어갈', '거', '같아', '요', 'ㅠㅠ', '아니면', '얼음', '빼고', '달라', '고', '하시고', '냉장고', '에', '두고', '드셔도', '될', '거', '같아요']"
15716,젊은 넘이 성욕이 없다는 건 자랑이 아니다 나 넬 모래 50인데 여자 엉딩이 만 봐도 그게,1,"['젊은', '넘이', '성욕', '이', '없다는', '건', '자랑', '이', '아니다', '나', '넬', '모래', '50', '인데', '여자', '엉딩', '이', '만', '봐도', '그게']"
15717,까불면 저렇게 된다 흰 둥아 흰둥이는 우리 집 펫 이름이 죠 ㅎㅎㅎ,1,"['까불면', '저렇게', '된다', '흰', '둥', '아', '흰둥이', '는', '우리', '집', '펫', '이름', '이', '죠', 'ㅎㅎㅎ']"
15718,좆법소년법 있는데 어찌 그때그때 해결하나 ㅡㅡ,1,"['좆법', '소년법', '있는데', '어찌', '그때', '그때', '해결', '하나', 'ㅡㅡ']"
